纪录频道,#genre#
CCTV-9 纪录,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226923/index.m3u8?servicetype=1
CCTV-9 纪录,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221225820/index.m3u8?servicetype=1
CCTV-9 纪录,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221225929/index.m3u8?servicetype=1
CCTV-9 纪录,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221226923/index.m3u8?servicetype=1
CCTV-9 纪录,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226197/index.m3u8
CCTV-9 纪录,http://39.135.55.105:6610/PLTV/88888888/224/3221225820/index.m3u8?servicetype=1
CCTV-9 纪录,http://39.135.55.105:6610/PLTV/88888888/224/3221226923/index.m3u8?servicetype=1
CCTV-9 纪录,http://39.135.55.105:6610/PLTV/88888888/224/3221225929/index.m3u8?servicetype=1
CCTV-9 纪录,http://112.50.243.8/PLTV/88888888/224/3221225820/1.m3u8
CCTV-9 纪录,http://112.50.243.8/PLTV/88888888/224/3221225929/1.m3u8
CCTV-9 纪录,http://112.50.243.8/PLTV/88888888/224/3221226923/1.m3u8

CCTV 世界地理,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226071/1/index.m3u8?fmt=ts2hls
CCTV 世界地理,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226947/index.m3u8
CCTV 世界地理,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226947/index.m3u8
CCTV 世界地理,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002485/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV 世界地理,http://218.17.216.102:9901/tsfile/live/1068_1.m3u8

北京纪实,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225944/index.m3u8
纪实人文,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225946/index.m3u8
金鹰纪实,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226975/index.m3u8

北京纪实,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225944/index.m3u8
纪实人文,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225946/index.m3u8
金鹰纪实,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226975/index.m3u8

纪实人文,rtsp://183.252.176.54/PLTV/88888888/224/3221226762/45278478.smil
金鹰纪实,rtsp://183.252.176.54/PLTV/88888888/224/3221226815/57526488.smil

纪实人文,http://live.v1.mk/api/bestv.php?id=jspdhd/4000000
金鹰纪实,http://live.v1.mk/api/bestv.php?id=jyjs8m/8000000
看天下精选,http://live.v1.mk/api/bestv.php?id=ktxjx8m/8000000

纪实人文,http://183.207.255.188/live/program/live/jspdhd/4000000/mnf.m3u8
金鹰纪实,http://183.207.255.188/live/program/live/jyjs8m/8000000/mnf.m3u8
看天下精选,http://183.207.255.188/live/program/live/ktxjx8m/8000000/mnf.m3u8

纪实人文,http://223.109.33.33/liveplay-kk.rtxapp.com/live/program/live/jspdhd/4000000/mnf.m3u8
金鹰纪实,http://223.109.33.33/liveplay-kk.rtxapp.com/live/program/live/jyjs8m/8000000/mnf.m3u8
看天下精选,http://223.109.33.33/liveplay-kk.rtxapp.com/live/program/live/ktxjx8m/8000000/mnf.m3u8

精品纪录,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225888/index.m3u8
精品纪录,http://39.135.55.105:6610/PLTV/88888888/224/3221225888/index.m3u8?servicetype=1
精品纪录,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221225888/index.m3u8?servicetype=1
精品纪录,http://112.50.243.8/PLTV/88888888/224/3221225888/1.m3u8
精品纪录,http://117.169.121.162:6610/PLTV/88888910/224/3221225710/index.m3u8
精品纪录,http://gslbserv.itv.cmvideo.cn:80/1000000004000013730/index.m3u8?channel-id=ystenlive&Contentid=1000000004000013730&livemode=1&stbId=3

爱探索,http://111.40.196.9/0000000000001000/1/index.m3u8?Contentid=6000000006000300630&livemode=1&stbId=3&channel-id=wasusyt
爱解密,http://111.40.196.9/0000000000001000/1/index.m3u8?Contentid=6000000006000200630&livemode=1&stbId=3&channel-id=wasusyt
爱科学,http://111.40.196.9/0000000000001000/1/index.m3u8?Contentid=6000000006000160630&livemode=1&stbId=3&channel-id=wasusyt
爱猎奇,http://111.40.196.9/0000000000001000/1/index.m3u8?Contentid=6000000006000190630&livemode=1&stbId=3&channel-id=wasusyt

爱探索,http://39.135.126.231:6610/000000001001/1/index.m3u8?Contentid=6000000006000300630&livemode=1&stbId=10&channel-id=wasusyt
爱解密,http://39.135.126.231:6610/000000001001/1/index.m3u8?Contentid=6000000006000200630&livemode=1&stbId=10&channel-id=wasusyt
爱科学,http://39.135.126.231:6610/000000001001/1/index.m3u8?Contentid=6000000006000160630&livemode=1&stbId=10&channel-id=wasusyt
爱猎奇,http://39.135.126.231:6610/000000001001/1/index.m3u8?Contentid=6000000006000190630&livemode=1&stbId=10&channel-id=wasusyt

爱探索,http://39.135.126.226:6610/000000001001/1/index.m3u8?Contentid=6000000006000300630&livemode=1&stbId=10&channel-id=wasusyt
爱解密,http://39.135.126.226:6610/000000001001/1/index.m3u8?Contentid=6000000006000200630&livemode=1&stbId=10&channel-id=wasusyt
爱科学,http://39.135.126.226:6610/000000001001/1/index.m3u8?Contentid=6000000006000160630&livemode=1&stbId=10&channel-id=wasusyt
爱猎奇,http://39.135.126.226:6610/000000001001/1/index.m3u8?Contentid=6000000006000190630&livemode=1&stbId=10&channel-id=wasusyt

自然地理,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c52_lb_81_600_t10/c52_lb_81_600_t10.m3u8?key
经典纪实,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c56_lb_220_600_t10/c56_lb_220_600_t10.m3u8?key
科学探索,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c51_lb_108_720P_t10/c51_lb_108_720P_t10.m3u8?key
历史秘闻,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c57_lb_236_600_t10/c57_lb_236_600_t10.m3u8?key
军事观察,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c57_lb_239_720P_t10/c57_lb_239_720P_t10.m3u8?key

斗鱼纪录片,http://epg.112114.xyz/douyu/3485629
