港澳频道,#genre#
无线明珠台,http://120.84.96.89:808/hls/26/index.m3u8
无线财经体育信息台,http://120.84.96.89:808/hls/86/index.m3u8
澳门莲花,http://120.84.96.89:808/hls/24/index.m3u8
澳门莲花,http://120.84.96.73:808/hls/24/index.m3u8

无线新闻台,http://2022.stream-link.org/playlist/tvb_news.ts
无线翡翠台,http://2022.stream-link.org/playlist/tvb_jade.ts
无线明珠台,http://2022.stream-link.org/playlist/tvb_pearl.ts
无线华丽台,http://2022.stream-link.org/playlist/astro_jade.ts
无线财经体育资讯台,http://2022.stream-link.org/playlist/tvb_finance.ts
有线新闻台,http://2022.stream-link.org/playlist/cable_news.ts
有线财经资讯,http://2022.stream-link.org/playlist/cable_finance.ts
HOY TV,http://2022.stream-link.org/playlist/hoy_tv.ts
HOY 资讯,http://2022.stream-link.org/playlist/hoy_info.ts
RTHK 31,http://2022.stream-link.org/playlist/rthk_31.ts
RTHK 32,http://2022.stream-link.org/playlist/rthk_32.ts
